Indicator,Current_Value,Previous_Year,Forecast_2025,Forecast_2026
GDP Growth Rate (%),6.5,7.4,6.7,7.0
Inflation Rate (CPI) (%),2.82,3.65,3.2,3.5
Interest Rate (Repo Rate) (%),6.5,6.5,6.25,6.0
USD-INR Exchange Rate,83.25,82.15,84.0,85.0
FDI Inflows ($ Billion),108.4,95.2,115.0,125.0
IT Export Revenue ($ Billion),194.0,177.0,210.0,230.0
IT Sector GDP Contribution (%),7.5,7.2,8.2,8.8
Digital Economy Share of GDP (%),11.74,10.8,13.5,15.2
Global IT Spending Growth (%),11.1,8.9,12.5,13.8
India IT Market Size ($ Billion),138.6,124.7,155.0,175.0
